"Date","All","Black","Hispanic","White"
"Jun-2017","4.7%","8.0%","5.5%","3.8%"
"May-2017","4.7%","8.1%","5.6%","3.8%"
"Apr-2017","4.7%","8.1%","5.7%","3.9%"
"Mar-2017","4.8%","8.2%","5.7%","3.9%"
"Feb-2017","4.8%","8.3%","5.8%","3.9%"
"Jan-2017","4.9%","8.4%","5.8%","4.0%"
"Dec-2016","4.9%","8.5%","5.8%","4.0%"
"Nov-2016","4.9%","8.5%","5.8%","4.0%"
"Oct-2016","4.9%","8.6%","5.9%","4.0%"
"Sep-2016","4.9%","8.7%","5.9%","4.0%"
"Aug-2016","4.9%","8.8%","5.9%","4.0%"
"Jul-2016","5.0%","8.9%","6.0%","4.0%"
"Jun-2016","5.0%","8.9%","6.1%","4.0%"
"May-2016","5.0%","9.0%","6.2%","4.0%"
"Apr-2016","5.1%","9.2%","6.3%","4.0%"
"Mar-2016","5.1%","9.2%","6.3%","4.1%"
"Feb-2016","5.2%","9.3%","6.4%","4.1%"
"Jan-2016","5.2%","9.4%","6.5%","4.1%"
"Dec-2015","5.3%","9.6%","6.6%","4.2%"
"Nov-2015","5.3%","9.8%","6.6%","4.2%"
"Oct-2015","5.4%","9.9%","6.6%","4.2%"
"Sep-2015","5.4%","10.0%","6.7%","4.3%"
"Aug-2015","5.5%","10.2%","6.7%","4.4%"
"Jul-2015","5.6%","10.4%","6.8%","4.4%"
"Jun-2015","5.7%","10.6%","6.9%","4.5%"
"May-2015","5.8%","10.7%","7.0%","4.6%"
"Apr-2015","5.8%","10.8%","7.0%","4.6%"
"Mar-2015","5.9%","11.0%","7.1%","4.7%"
"Feb-2015","6.0%","11.2%","7.2%","4.7%"
"Jan-2015","6.1%","11.3%","7.3%","4.8%"
"Dec-2014","6.2%","11.4%","7.4%","4.9%"
"Nov-2014","6.3%","11.5%","7.6%","5.0%"
"Oct-2014","6.4%","11.6%","7.7%","5.0%"
"Sep-2014","6.5%","11.8%","7.9%","5.1%"
"Aug-2014","6.6%","12.0%","8.1%","5.2%"
"Jul-2014","6.7%","12.1%","8.3%","5.3%"
"Jun-2014","6.8%","12.2%","8.4%","5.4%"
"May-2014","6.9%","12.5%","8.5%","5.5%"
"Apr-2014","7.0%","12.6%","8.6%","5.6%"
"Mar-2014","7.1%","12.7%","8.8%","5.7%"
"Feb-2014","7.2%","12.8%","8.9%","5.8%"
"Jan-2014","7.3%","13.0%","9.0%","5.9%"
"Dec-2013","7.4%","13.1%","9.1%","6.0%"
"Nov-2013","7.5%","13.3%","9.2%","6.1%"
"Oct-2013","7.5%","13.4%","9.3%","6.1%"
"Sep-2013","7.6%","13.4%","9.4%","6.2%"
"Aug-2013","7.6%","13.5%","9.5%","6.2%"
"Jul-2013","7.7%","13.6%","9.5%","6.3%"
"Jun-2013","7.8%","13.7%","9.6%","6.3%"
"May-2013","7.8%","13.8%","9.8%","6.4%"
"Apr-2013","7.9%","13.8%","9.9%","6.4%"
"Mar-2013","7.9%","13.8%","10.0%","6.5%"
"Feb-2013","8.0%","13.9%","10.1%","6.5%"
"Jan-2013","8.0%","13.9%","10.2%","6.6%"
"Dec-2012","8.1%","13.9%","10.3%","6.6%"
"Nov-2012","8.1%","14.1%","10.4%","6.6%"
"Oct-2012","8.2%","14.3%","10.5%","6.7%"
"Sep-2012","8.3%","14.3%","10.6%","6.7%"
"Aug-2012","8.4%","14.5%","10.8%","6.8%"
"Jul-2012","8.4%","14.7%","10.8%","6.9%"
"Jun-2012","8.5%","14.8%","10.9%","6.9%"
"May-2012","8.6%","15.0%","11.0%","7.0%"
"Apr-2012","8.7%","15.2%","11.0%","7.0%"
"Mar-2012","8.7%","15.4%","11.2%","7.1%"
"Feb-2012","8.8%","15.6%","11.3%","7.1%"
"Jan-2012","8.9%","15.7%","11.3%","7.2%"
"Dec-2011","8.9%","15.9%","11.5%","7.2%"
"Nov-2011","9.0%","15.8%","11.6%","7.3%"
"Oct-2011","9.1%","15.9%","11.8%","7.4%"
"Sep-2011","9.2%","16.0%","11.9%","7.5%"
"Aug-2011","9.2%","16.0%","12.0%","7.5%"
"Jul-2011","9.2%","15.9%","12.0%","7.6%"
"Jun-2011","9.3%","15.9%","12.1%","7.6%"
"May-2011","9.3%","15.8%","12.2%","7.6%"
"Apr-2011","9.3%","15.8%","12.2%","7.7%"
"Mar-2011","9.4%","15.8%","12.2%","7.8%"
"Feb-2011","9.5%","15.8%","12.4%","7.9%"
"Jan-2011","9.6%","15.9%","12.4%","8.0%"
"Dec-2010","9.6%","15.9%","12.5%","8.0%"
"Nov-2010","9.7%","16.0%","12.5%","8.1%"
"Oct-2010","9.7%","16.0%","12.4%","8.1%"
"Sep-2010","9.7%","16.0%","12.5%","8.1%"
"Aug-2010","9.7%","15.9%","12.5%","8.2%"
"Jul-2010","9.7%","15.7%","12.6%","8.2%"
"Jun-2010","9.7%","15.7%","12.6%","8.2%"
"May-2010","9.7%","15.6%","12.6%","8.2%"
"Apr-2010","9.7%","15.6%","12.6%","8.2%"
"Mar-2010","9.7%","15.5%","12.5%","8.1%"
"Feb-2010","9.6%","15.2%","12.5%","8.0%"
"Jan-2010","9.4%","15.0%","12.3%","7.9%"
"Dec-2009","9.3%","14.7%","12.1%","7.8%"
"Nov-2009","9.0%","14.4%","11.8%","7.6%"
"Oct-2009","8.8%","14.0%","11.5%","7.4%"
"Sep-2009","8.5%","13.7%","11.2%","7.2%"
"Aug-2009","8.2%","13.4%","10.8%","6.9%"
"Jul-2009","7.9%","13.0%","10.4%","6.6%"
"Jun-2009","7.6%","12.6%","10.0%","6.4%"
"May-2009","7.3%","12.2%","9.6%","6.1%"
"Apr-2009","7.0%","11.7%","9.1%","5.8%"
"Mar-2009","6.7%","11.2%","8.8%","5.5%"
"Feb-2009","6.3%","10.8%","8.4%","5.2%"
"Jan-2009","6.0%","10.4%","7.9%","5.0%"
"Dec-2008","5.8%","10.0%","7.6%","4.7%"
"Nov-2008","5.6%","9.8%","7.4%","4.6%"
"Oct-2008","5.4%","9.6%","7.1%","4.4%"
"Sep-2008","5.3%","9.3%","6.9%","4.3%"
"Aug-2008","5.2%","9.1%","6.7%","4.2%"
"Jul-2008","5.0%","8.8%","6.5%","4.2%"
"Jun-2008","4.9%","8.6%","6.3%","4.1%"
"May-2008","4.9%","8.6%","6.2%","4.0%"
"Apr-2008","4.8%","8.4%","6.1%","3.9%"
"Mar-2008","4.7%","8.4%","6.0%","3.9%"
"Feb-2008","4.7%","8.4%","5.8%","3.9%"
"Jan-2008","4.7%","8.4%","5.7%","3.9%"
"Dec-2007","4.6%","8.3%","5.6%","3.9%"
"Nov-2007","4.6%","8.2%","5.5%","3.8%"
"Oct-2007","4.6%","8.2%","5.5%","3.8%"
"Sep-2007","4.5%","8.2%","5.4%","3.8%"
"Aug-2007","4.5%","8.3%","5.4%","3.8%"
"Jul-2007","4.5%","8.4%","5.4%","3.8%"
"Jun-2007","4.5%","8.5%","5.3%","3.8%"
"May-2007","4.5%","8.6%","5.3%","3.8%"
"Apr-2007","4.6%","8.6%","5.2%","3.8%"
"Mar-2007","4.6%","8.7%","5.2%","3.8%"
"Feb-2007","4.6%","8.8%","5.2%","3.8%"
"Jan-2007","4.6%","8.9%","5.2%","3.8%"
"Dec-2006","4.6%","9.0%","5.2%","3.8%"
"Nov-2006","4.7%","9.1%","5.3%","3.9%"
"Oct-2006","4.7%","9.3%","5.4%","3.9%"
"Sep-2006","4.7%","9.3%","5.5%","3.9%"
"Aug-2006","4.8%","9.4%","5.6%","3.9%"
"Jul-2006","4.8%","9.4%","5.6%","3.9%"
"Jun-2006","4.8%","9.4%","5.6%","3.9%"
"May-2006","4.9%","9.5%","5.7%","4.0%"
"Apr-2006","4.9%","9.6%","5.8%","4.0%"
"Mar-2006","4.9%","9.7%","5.8%","4.0%"
"Feb-2006","5.0%","9.8%","5.9%","4.0%"
"Jan-2006","5.0%","9.9%","6.0%","4.1%"
"Dec-2005","5.1%","10.1%","6.0%","4.1%"
"Nov-2005","5.1%","10.2%","6.1%","4.1%"
"Oct-2005","5.2%","10.2%","6.1%","4.2%"
"Sep-2005","5.2%","10.3%","6.2%","4.2%"
"Aug-2005","5.2%","10.4%","6.2%","4.2%"
"Jul-2005","5.3%","10.4%","6.3%","4.2%"
"Jun-2005","5.3%","10.6%","6.4%","4.3%"
"May-2005","5.3%","10.6%","6.5%","4.3%"
"Apr-2005","5.4%","10.6%","6.6%","4.3%"
"Mar-2005","5.4%","10.5%","6.6%","4.4%"
"Feb-2005","5.5%","10.5%","6.8%","4.4%"
"Jan-2005","5.5%","10.4%","6.9%","4.4%"
"Dec-2004","5.5%","10.4%","7.0%","4.5%"
"Nov-2004","5.6%","10.3%","7.0%","4.5%"
"Oct-2004","5.6%","10.3%","7.0%","4.6%"
"Sep-2004","5.6%","10.3%","7.1%","4.6%"
"Aug-2004","5.7%","10.4%","7.1%","4.7%"
"Jul-2004","5.7%","10.4%","7.2%","4.7%"
"Jun-2004","5.8%","10.4%","7.3%","4.7%"
"May-2004","5.8%","10.5%","7.4%","4.8%"
"Apr-2004","5.9%","10.6%","7.5%","4.8%"
"Mar-2004","5.9%","10.6%","7.6%","4.8%"
"Feb-2004","5.9%","10.7%","7.6%","4.8%"
"Jan-2004","6.0%","10.7%","7.6%","4.8%"
"Dec-2003","6.0%","10.8%","7.7%","4.8%"
"Nov-2003","6.0%","10.8%","7.8%","4.8%"
"Oct-2003","6.0%","10.9%","7.8%","4.8%"
"Sep-2003","6.0%","10.7%","7.8%","4.8%"
"Aug-2003","6.0%","10.6%","7.8%","4.8%"
"Jul-2003","5.9%","10.6%","7.8%","4.8%"
"Jun-2003","5.9%","10.5%","7.8%","4.8%"
"May-2003","5.9%","10.4%","7.7%","4.8%"
"Apr-2003","5.8%","10.3%","7.6%","4.8%"
"Mar-2003","5.8%","10.3%","7.6%","4.7%"
"Feb-2003","5.8%","10.3%","7.6%","4.7%"
"Jan-2003","5.8%","10.3%","7.6%","4.7%"
"Dec-2002","5.8%","10.2%","7.5%","4.7%"
"Nov-2002","5.8%","10.1%","7.5%","4.7%"
"Oct-2002","5.7%","10.1%","7.5%","4.7%"
"Sep-2002","5.7%","10.0%","7.4%","4.7%"
"Aug-2002","5.6%","10.0%","7.4%","4.6%"
"Jul-2002","5.6%","9.9%","7.3%","4.6%"
"Jun-2002","5.5%","9.8%","7.2%","4.5%"
"May-2002","5.4%","9.6%","7.1%","4.4%"
"Apr-2002","5.3%","9.4%","7.1%","4.3%"
"Mar-2002","5.1%","9.2%","6.9%","4.1%"
"Feb-2002","5.0%","9.0%","6.8%","4.0%"
"Jan-2002","4.9%","8.8%","6.8%","3.9%"
"Dec-2001","4.7%","8.6%","6.6%","3.8%"
"Nov-2001","4.6%","8.4%","6.4%","3.7%"
"Oct-2001","4.5%","8.2%","6.3%","3.5%"
"Sep-2001","4.3%","8.0%","6.1%","3.5%"
"Aug-2001","4.3%","7.9%","6.0%","3.4%"
"Jul-2001","4.2%","7.8%","6.0%","3.3%"
"Jun-2001","4.2%","7.8%","6.0%","3.3%"
"May-2001","4.1%","7.8%","5.9%","3.2%"
"Apr-2001","4.1%","7.8%","5.9%","3.2%"
"Mar-2001","4.0%","7.7%","5.8%","3.2%"
"Feb-2001","4.0%","7.6%","5.8%","3.2%"
"Jan-2001","4.0%","7.6%","5.7%","3.2%"
"Dec-2000","4.0%","7.6%","5.7%","3.1%"
"Nov-2000","4.0%","7.6%","5.7%","3.1%"
"Oct-2000","4.0%","7.7%","5.7%","3.1%"
"Sep-2000","4.0%","7.7%","5.8%","3.1%"
"Aug-2000","4.1%","7.8%","5.9%","3.2%"
"Jul-2000","4.1%","7.8%","6.0%","3.2%"
"Jun-2000","4.1%","7.9%","6.0%","3.2%"
"May-2000","4.1%","7.9%","6.1%","3.2%"
"Apr-2000","4.1%","7.9%","6.2%","3.2%"
"Mar-2000","4.2%","7.9%","6.3%","3.2%"
"Feb-2000","4.2%","8.0%","6.3%","3.3%"
"Jan-2000","4.2%","8.0%","6.3%","3.3%"
"Dec-1999","4.2%","8.0%","6.4%","3.3%"
"Nov-1999","4.2%","8.0%","6.6%","3.3%"
"Oct-1999","4.3%","8.0%","6.7%","3.3%"
"Sep-1999","4.3%","8.0%","6.7%","3.4%"
"Aug-1999","4.3%","8.1%","6.8%","3.4%"
"Jul-1999","4.3%","8.2%","6.8%","3.4%"
"Jun-1999","4.4%","8.3%","6.9%","3.4%"
"May-1999","4.4%","8.4%","7.0%","3.4%"
"Apr-1999","4.4%","8.5%","7.0%","3.4%"
"Mar-1999","4.4%","8.6%","7.0%","3.4%"
"Feb-1999","4.5%","8.7%","7.1%","3.4%"
"Jan-1999","4.5%","8.8%","7.1%","3.4%"
"Dec-1998","4.5%","9.0%","7.2%","3.4%"
"Nov-1998","4.5%","9.1%","7.1%","3.5%"
"Oct-1998","4.6%","9.2%","7.1%","3.5%"
"Sep-1998","4.6%","9.3%","7.2%","3.5%"
"Aug-1998","4.6%","9.3%","7.2%","3.5%"
"Jul-1998","4.6%","9.4%","7.2%","3.6%"
"Jun-1998","4.7%","9.4%","7.2%","3.6%"
"May-1998","4.7%","9.5%","7.3%","3.6%"
"Apr-1998","4.8%","9.6%","7.3%","3.7%"
"Mar-1998","4.8%","9.7%","7.5%","3.7%"
"Feb-1998","4.9%","9.8%","7.6%","3.7%"
"Jan-1998","4.9%","10.0%","7.7%","3.8%"
"Dec-1997","5.0%","10.1%","7.9%","3.8%"
"Nov-1997","5.1%","10.2%","7.9%","3.9%"
"Oct-1997","5.1%","10.3%","8.0%","3.9%"
"Sep-1997","5.2%","10.4%","8.0%","4.0%"
"Aug-1997","5.2%","10.5%","8.1%","4.0%"
"Jul-1997","5.2%","10.6%","8.2%","4.0%"
"Jun-1997","5.3%","10.7%","8.3%","4.0%"
"May-1997","5.3%","10.7%","8.4%","4.0%"
"Apr-1997","5.3%","10.7%","8.5%","4.1%"
"Mar-1997","5.4%","10.7%","8.7%","4.1%"
"Feb-1997","5.4%","10.7%","8.7%","4.2%"
"Jan-1997","5.4%","10.6%","8.9%","4.2%"
"Dec-1996","5.5%","10.6%","9.0%","4.2%"
"Nov-1996","5.5%","10.5%","9.1%","4.2%"
"Oct-1996","5.5%","10.5%","9.2%","4.3%"
"Sep-1996","5.5%","10.4%","9.3%","4.3%"
"Aug-1996","5.6%","10.4%","9.4%","4.3%"
"Jul-1996","5.6%","10.5%","9.5%","4.4%"
"Jun-1996","5.6%","10.5%","9.5%","4.4%"
"May-1996","5.6%","10.6%","9.5%","4.4%"
"Apr-1996","5.7%","10.6%","9.5%","4.4%"
"Mar-1996","5.7%","10.6%","9.5%","4.5%"
"Feb-1996","5.7%","10.5%","9.4%","4.5%"
"Jan-1996","5.7%","10.5%","9.4%","4.5%"
"Dec-1995","5.7%","10.5%","9.4%","4.5%"
"Nov-1995","5.6%","10.5%","9.4%","4.4%"
"Oct-1995","5.6%","10.6%","9.4%","4.4%"
"Sep-1995","5.7%","10.7%","9.4%","4.4%"
"Aug-1995","5.7%","10.6%","9.5%","4.5%"
"Jul-1995","5.7%","10.6%","9.5%","4.5%"
"Jun-1995","5.7%","10.6%","9.6%","4.5%"
"May-1995","5.8%","10.7%","9.7%","4.5%"
"Apr-1995","5.8%","10.8%","9.7%","4.6%"
"Mar-1995","5.8%","10.9%","9.8%","4.6%"
"Feb-1995","5.9%","11.1%","9.8%","4.7%"
"Jan-1995","6.0%","11.3%","9.9%","4.8%"
"Dec-1994","6.1%","11.5%","9.9%","4.8%"
"Nov-1994","6.2%","11.7%","10.0%","4.9%"
"Oct-1994","6.3%","11.9%","10.2%","5.0%"
"Sep-1994","6.3%","11.9%","10.3%","5.0%"
"Aug-1994","6.4%","12.1%","10.3%","5.1%"
"Jul-1994","6.5%","12.1%","10.3%","5.2%"
"Jun-1994","6.5%","12.3%","10.4%","5.2%"
"May-1994","6.6%","12.5%","10.3%","5.3%"
"Apr-1994","6.7%","12.6%","10.4%","5.4%"
"Mar-1994","6.7%","12.7%","10.4%","5.4%"
"Feb-1994","6.8%","12.8%","10.5%","5.5%"
"Jan-1994","6.8%","12.9%","10.6%","5.5%"
"Dec-1993","6.9%","13.0%","10.7%","5.6%"
"Nov-1993","7.0%","13.2%","10.8%","5.6%"
"Oct-1993","7.1%","13.3%","11.0%","5.7%"
"Sep-1993","7.1%","13.5%","11.0%","5.7%"
"Aug-1993","7.2%","13.6%","11.1%","5.8%"
"Jul-1993","7.3%","13.8%","11.3%","5.8%"
"Jun-1993","7.3%","13.9%","11.3%","5.9%"
"May-1993","7.4%","14.0%","11.5%","5.9%"
"Apr-1993","7.4%","14.1%","11.6%","5.9%"
"Mar-1993","7.5%","14.1%","11.7%","6.0%"
"Feb-1993","7.5%","14.1%","11.7%","6.0%"
"Jan-1993","7.5%","14.2%","11.7%","6.0%"
"Dec-1992","7.5%","14.2%","11.6%","6.1%"
"Nov-1992","7.5%","14.1%","11.5%","6.1%"
"Oct-1992","7.5%","13.9%","11.4%","6.1%"
"Sep-1992","7.5%","13.9%","11.3%","6.1%"
"Aug-1992","7.4%","13.8%","11.2%","6.0%"
"Jul-1992","7.3%","13.6%","11.1%","6.0%"
"Jun-1992","7.3%","13.4%","11.0%","6.0%"
"May-1992","7.2%","13.3%","10.8%","5.9%"
"Apr-1992","7.1%","13.1%","10.6%","5.9%"
"Mar-1992","7.1%","13.0%","10.6%","5.8%"
"Feb-1992","7.0%","12.9%","10.4%","5.8%"
"Jan-1992","7.0%","12.8%","10.2%","5.8%"
"Dec-1991","6.9%","12.6%","10.1%","5.7%"
"Nov-1991","6.8%","12.6%","10.1%","5.6%"
"Oct-1991","6.7%","12.6%","9.9%","5.5%"
"Sep-1991","6.6%","12.5%","9.7%","5.4%"
"Aug-1991","6.5%","12.5%","9.5%","5.4%"
"Jul-1991","6.4%","12.4%","9.3%","5.3%"
"Jun-1991","6.3%","12.4%","9.2%","5.2%"
"May-1991","6.2%","12.2%","9.0%","5.0%"
"Apr-1991","6.1%","12.0%","8.9%","4.9%"
"Mar-1991","6.0%","11.8%","8.8%","4.8%"
"Feb-1991","5.8%","11.7%","8.5%","4.7%"
"Jan-1991","5.7%","11.6%","8.4%","4.6%"
"Dec-1990","5.6%","11.5%","8.2%","4.5%"
"Nov-1990","5.5%","11.4%","8.1%","4.4%"
"Oct-1990","5.5%","11.3%","8.0%","4.4%"
"Sep-1990","5.4%","11.3%","8.0%","4.3%"
"Aug-1990","5.4%","11.2%","7.9%","4.3%"
"Jul-1990","5.4%","11.2%","8.0%","4.3%"
"Jun-1990","5.3%","11.1%","8.1%","4.3%"
"May-1990","5.3%","11.2%","8.1%","4.3%"
"Apr-1990","5.3%","11.2%","8.1%","4.2%"
"Mar-1990","5.3%","11.3%","8.1%","4.2%"
"Feb-1990","5.3%","11.3%","8.0%","4.2%"
"Jan-1990","5.3%","11.4%","7.9%","4.2%"
"Dec-1989","5.3%","11.4%","8.0%","4.2%"
"Nov-1989","5.3%","11.4%","7.9%","4.2%"
"Oct-1989","5.3%","11.4%","7.9%","4.2%"
"Sep-1989","5.3%","11.3%","7.9%","4.2%"
"Aug-1989","5.3%","11.3%","7.9%","4.2%"
"Jul-1989","5.3%","11.3%","7.8%","4.3%"
"Jun-1989","5.3%","11.4%","7.7%","4.3%"
"May-1989","5.3%","11.3%","7.7%","4.3%"
"Apr-1989","5.4%","11.5%","7.8%","4.3%"
"Mar-1989","5.4%","11.6%","7.9%","4.3%"
"Feb-1989","5.4%","11.8%","8.0%","4.3%"
"Jan-1989","5.5%","11.8%","8.1%","4.4%"
"Dec-1988","5.5%","11.8%","8.1%","4.4%"
"Nov-1988","5.6%","11.9%","8.1%","4.4%"
"Oct-1988","5.6%","12.0%","8.2%","4.5%"
"Sep-1988","5.6%","12.1%","8.3%","4.5%"
"Aug-1988","5.7%","12.2%","8.3%","4.5%"
"Jul-1988","5.7%","12.3%","8.3%","4.6%"
"Jun-1988","5.8%","12.4%","8.3%","4.6%"
"May-1988","5.8%","12.5%","8.3%","4.7%"
"Apr-1988","5.9%","12.6%","8.3%","4.8%"
"Mar-1988","6.0%","12.7%","8.2%","4.8%"
"Feb-1988","6.1%","12.8%","8.3%","4.9%"
"Jan-1988","6.1%","12.9%","8.4%","5.0%"
"Dec-1987","6.2%","13.0%","8.6%","5.0%"
"Nov-1987","6.3%","13.1%","8.9%","5.1%"
"Oct-1987","6.4%","13.3%","8.9%","5.2%"
"Sep-1987","6.4%","13.5%","9.1%","5.2%"
"Aug-1987","6.5%","13.7%","9.3%","5.3%"
"Jul-1987","6.6%","13.9%","9.5%","5.3%"
"Jun-1987","6.7%","14.1%","9.8%","5.4%"
"May-1987","6.8%","14.3%","9.9%","5.5%"
"Apr-1987","6.8%","14.3%","10.1%","5.5%"
"Mar-1987","6.9%","14.4%","10.2%","5.6%"
"Feb-1987","6.9%","14.5%","10.3%","5.6%"
"Jan-1987","7.0%","14.5%","10.5%","5.7%"
"Dec-1986","7.0%","14.5%","10.5%","5.7%"
"Nov-1986","7.0%","14.6%","10.5%","5.7%"
"Oct-1986","7.0%","14.7%","10.6%","5.7%"
"Sep-1986","7.0%","14.8%","10.6%","5.7%"
"Aug-1986","7.0%","14.8%","10.6%","5.7%"
"Jul-1986","7.1%","14.8%","10.5%","5.7%"
"Jun-1986","7.1%","14.9%","10.6%","5.7%"
"May-1986","7.1%","14.8%","10.6%","5.8%"
"Apr-1986","7.1%","14.9%","10.6%","5.8%"
"Mar-1986","7.1%","14.9%","10.6%","5.8%"
"Feb-1986","7.1%","15.0%","10.6%","5.8%"
"Jan-1986","7.1%","15.1%","10.4%","5.8%"
"Dec-1985","7.2%","15.2%","10.4%","5.8%"
"Nov-1985","7.2%","15.2%","10.4%","5.9%"
"Oct-1985","7.2%","15.2%","10.4%","5.9%"
"Sep-1985","7.3%","15.3%","10.4%","5.9%"
"Aug-1985","7.3%","15.2%","10.4%","6.0%"
"Jul-1985","7.3%","15.4%","10.4%","6.0%"
"Jun-1985","7.3%","15.5%","10.4%","6.0%"
"May-1985","7.3%","15.6%","10.4%","6.0%"
"Apr-1985","7.3%","15.6%","10.4%","6.0%"
"Mar-1985","7.4%","15.7%","10.5%","6.0%"
"Feb-1985","7.4%","15.9%","10.6%","6.1%"
"Jan-1985","7.5%","15.9%","10.7%","6.2%"
"Dec-1984","7.6%","16.1%","10.7%","6.2%"
"Nov-1984","7.7%","16.3%","10.8%","6.3%"
"Oct-1984","7.8%","16.6%","11.0%","6.4%"
"Sep-1984","7.9%","16.8%","11.0%","6.5%"
"Aug-1984","8.0%","17.1%","11.2%","6.6%"
"Jul-1984","8.2%","17.4%","11.4%","6.7%"
"Jun-1984","8.3%","17.6%","11.6%","6.9%"
"May-1984","8.5%","18.0%","11.9%","7.0%"
"Apr-1984","8.7%","18.4%","12.2%","7.2%"
"Mar-1984","9.0%","18.7%","12.5%","7.4%"
"Feb-1984","9.2%","19.0%","12.8%","7.6%"
"Jan-1984","9.4%","19.3%","13.3%","7.8%"
"Dec-1983","9.6%","19.7%","13.6%","8.0%"
"Nov-1983","9.9%","19.9%","13.9%","8.3%"
"Oct-1983","10.0%","20.1%","14.2%","8.4%"
"Sep-1983","10.2%","20.3%","14.4%","8.6%"
"Aug-1983","10.3%","20.4%","14.5%","8.7%"
"Jul-1983","10.3%","20.4%","14.6%","8.7%"
"Jun-1983","10.3%","20.4%","14.7%","8.7%"
"May-1983","10.3%","20.2%","14.7%","8.7%"
"Apr-1983","10.2%","20.0%","14.7%","8.7%"
"Mar-1983","10.1%","19.8%","14.5%","8.6%"
"Feb-1983","10.0%","19.6%","14.2%","8.5%"
"Jan-1983","9.9%","19.5%","13.9%","8.4%"
"Dec-1982","9.7%","19.1%","13.6%","8.3%"
"Nov-1982","9.5%","18.8%","13.3%","8.1%"
"Oct-1982","9.3%","18.5%","13.0%","7.9%"
"Sep-1982","9.1%","18.2%","12.7%","7.7%"
"Aug-1982","8.9%","17.9%","12.3%","7.6%"
"Jul-1982","8.8%","17.7%","12.0%","7.4%"
"Jun-1982","8.6%","17.3%","11.6%","7.2%"
"May-1982","8.4%","17.1%","11.3%","7.1%"
"Apr-1982","8.3%","16.8%","11.0%","7.0%"
"Mar-1982","8.1%","16.5%","10.8%","6.8%"
"Feb-1982","7.9%","16.3%","10.6%","6.7%"
"Jan-1982","7.8%","16.1%","10.5%","6.6%"
"Dec-1981","7.7%","15.9%","10.4%","6.5%"
"Nov-1981","7.6%","15.7%","10.3%","6.4%"
"Oct-1981","7.5%","15.6%","10.2%","6.3%"
"Sep-1981","7.5%","15.5%","10.2%","6.3%"
"Aug-1981","7.5%","15.4%","10.4%","6.3%"
"Jul-1981","7.5%","15.3%","10.4%","6.4%"
"Jun-1981","7.6%","15.3%","10.5%","6.4%"
"May-1981","7.6%","15.2%","10.5%","6.5%"
"Apr-1981","7.6%","15.2%","10.5%","6.5%"
"Mar-1981","7.6%","15.1%","10.5%","6.4%"
"Feb-1981","7.5%","14.9%","10.4%","6.4%"
"Jan-1981","7.4%","14.7%","10.2%","6.3%"
"Dec-1980","7.3%","14.6%","10.0%","6.2%"
"Nov-1980","7.2%","14.3%","9.9%","6.1%"
"Oct-1980","7.0%","14.0%","9.8%","5.9%"
"Sep-1980","6.9%","13.8%","9.7%","5.8%"
"Aug-1980","6.7%","13.5%","9.4%","5.7%"
"Jul-1980","6.6%","13.3%","9.3%","5.6%"
"Jun-1980","6.4%","13.0%","9.0%","5.4%"
"May-1980","6.3%","12.8%","8.9%","5.3%"
"Apr-1980","6.1%","12.6%","8.7%","5.1%"
"Mar-1980","6.0%","12.5%","8.5%","5.0%"
"Feb-1980","5.9%","12.4%","8.4%","5.0%"
"Jan-1980","5.9%","12.5%","8.3%","5.0%"
"Dec-1979","5.9%","12.3%","8.3%","4.9%"
"Nov-1979","5.9%","12.3%","8.3%","4.9%"
"Oct-1979","5.9%","12.4%","8.3%","4.9%"
"Sep-1979","5.8%","12.4%","8.2%","4.9%"
"Aug-1979","5.8%","12.4%","8.3%","4.9%"
"Jul-1979","5.8%","12.4%","8.3%","4.9%"
"Jun-1979","5.9%","12.5%","8.4%","4.9%"
"May-1979","5.9%","12.6%","8.5%","4.9%"
"Apr-1979","5.9%","12.6%","8.6%","4.9%"
"Mar-1979","6.0%","12.7%","8.7%","5.0%"
"Feb-1979","6.0%","12.8%","8.8%","5.0%"
"Jan-1979","6.1%","12.8%","9.1%","5.0%"
"Dec-1978","6.1%","12.9%","9.2%","5.1%"
